DateTime,rain,temp_min,temp_max
1973-11-19,0,15.77,28.24
1973-11-20,0,15.13,28.04
1973-11-21,0,16.11,27.68
1973-11-22,0,16.13,28.33
1973-11-23,0,14.95,27.68
1973-11-24,0,18.21,28.56
1973-11-25,0,19.82,28.38
1973-11-26,0,18.85,27.54
1973-11-27,0,15.1,28.72
1973-11-28,0,14.81,28.61
1973-11-29,0,15.8,28.11
1973-11-30,0.3738,18.16,28.08
1973-12-01,0,16.55,27.12
1973-12-02,0,18.21,28.34
1973-12-03,0,18.66,28.57
1973-12-04,0,18.53,27.81
1973-12-05,0,17.61,27.63
1973-12-06,0,16.09,27.93
1973-12-07,0,15.52,28.12
1973-12-08,0,16.96,29.12
1973-12-09,0,15.59,28.41
1973-12-10,0,15.01,29.09
1973-12-11,0,14.46,28.16
1973-12-12,0,14.38,27.5
1973-12-13,0,17.33,26.81
1973-12-14,0,16.6,27.27
1973-12-15,5.3989,16.58,25.49
1973-12-16,10.7923,17.48,21.8
1973-12-17,2.6363,17.75,22.42
1973-12-18,0,15.5,25.09
1973-12-19,0,14.38,26.09
1973-12-20,0,15.74,26.92
1973-12-21,0,16.12,27.08
1973-12-22,0,16.12,27.07
1973-12-23,0,14.99,26.58
1973-12-24,0,13.43,26.84
1973-12-25,0,14.7,27.09
1973-12-26,0,14.5,25.94
1973-12-27,0,14.38,25.66
1973-12-28,0,17.15,26.57
1973-12-29,0.6617,18.47,22.96
1973-12-30,1.7616,18.63,23.96
1973-12-31,0,16.99,24.72
1974-01-01,0,15.64,26.37
1974-01-02,0,15.27,26.55
1974-01-03,0,15.3,26.75
1974-01-04,0,14.21,27.44
1974-01-05,0,14.16,27.17
1974-01-06,0,13.54,27.24
1974-01-07,0,13.24,26.68
1974-01-08,0,15.27,27.52
1974-01-09,0,14.8,27.01
1974-01-10,0,16,27.8
1974-01-11,0,14.69,28.1
1974-01-12,0,14.31,28.07
1974-01-13,0,14.36,28.67
1974-01-14,0,14.24,28.66
1974-01-15,0,14.6,28.58
1974-01-16,0,15.07,29.37
1974-01-17,0,15.23,28.33
1974-01-18,0,14.65,28.49
1974-01-19,0,14.9,28.34
1974-01-20,0,15,28.25
1974-01-21,0,15.31,29.48
1974-01-22,0,14.47,27.85
1974-01-23,0,13.56,28.93
1974-01-24,0,14.54,29.58
1974-01-25,0,15.23,30.05
1974-01-26,0,16.02,30.39
1974-01-27,0,15.33,29.71
1974-01-28,0,15,29.86
1974-01-29,0,14.91,30.77
1974-01-30,0,14.03,30.46
1974-01-31,0,14.43,30.54
1974-02-01,0,13.75,30.14
1974-02-02,0,14.22,30.91
1974-02-03,0,14.97,30.14
1974-02-04,0,14.3,30.63
1974-02-05,0,13.37,31.33
1974-02-06,0,13.44,31.08
1974-02-07,0,13.06,31.3
1974-02-08,0,13.2,31.52
1974-02-09,0,14.92,31.02
1974-02-10,0,15.66,30.43
1974-02-11,0,15.98,30.63
1974-02-12,0,15.81,29.72
1974-02-13,0,16.37,31.13
1974-02-14,0,17.11,30.73
1974-02-15,0,15.58,30.58
1974-02-16,0,15.65,30.43
